label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41
HELLO,0.588636,0.705625,0.004986,0.549106,0.646558,0.009397,0.53402,0.618355,0.008507,0.498196,0.604568,0.00585,0.47106,0.591189,0.002406,0.564786,0.57064,0.009741,0.555495,0.529891,0.008867,0.5587,0.497185,0.012312,0.54902,0.459209,0.005556,0.583896,0.567886,0.005879,0.585276,0.517769,-0.001873,0.585491,0.477891,0.005428,0.586696,0.448408,0.010931,0.612027,0.574824,0.002717,0.615818,0.538094,0.002553,0.61773,0.501883,-0.00148,0.632824,0.45289,0.007207,0.644233,0.59598,0.002272,0.655812,0.557274,0.007502,0.663953,0.534498,0.008272,0.665892,0.496408,0.006968,-0.000966,-0.00029,-6.7e-05,-0.001141,-0.003604,-0.009849,-0.003332,0.0063,0.001226,0.000623,0.004488,-0.007308,0.003185,0.013637,-0.002821,0.004516,-0.006866,0.006106,-0.000524,-0.005095,-0.00263,-0.002012,-0.004433,-0.004575,0.000314,0.001359,0.005064,0.006881,-0.000928,-0.002236,0.006874,-0.003317,-0.004487,0.006068,0.00012,-0.001449,0.004649,0.007553,-0.003917,-0.00185,0.005884,0.002245,-0.003665,-0.001352,-0.000474,-0.002226,0.005103,0.00871,-0.002471,0.001164,-0.008709,-0.005043,-0.000511,0.002739,-0.003619,-0.004166,-0.000994,0.001399,4.2e-05,-0.003038,0.001088,0.003104,-0.002118
HELLO,0.614531,0.694642,0.005563,0.567364,0.655168,-0.001093,0.553275,0.622165,0.000822,0.529088,0.588498,-0.002595,0.483684,0.585751,0.001551,0.579222,0.581,-0.004922,0.580922,0.531345,-5.8e-05,0.573655,0.501339,0.011844,0.578853,0.464856,-0.000319,0.610682,0.56454,0.005307,0.611327,0.520427,0.000921,0.614684,0.483926,-0.001611,0.615171,0.447375,0.011132,0.646383,0.57732,0.004701,0.650056,0.532902,0.00262,0.648394,0.488859,0.004109,0.644639,0.460129,0.009981,0.665636,0.593506,-0.005644,0.679469,0.560059,0.01,0.680043,0.530804,0.001942,0.683363,0.504341,0.00452,-0.003922,0.005091,0.007973,-0.006582,-0.000981,0.000608,-0.001304,-0.000734,-0.008095,0.004104,-0.002802,-0.006238,0.003858,-0.001084,-0.000256,0.008749,0.002393,-0.002509,0.001058,0.001031,0.000622,-0.003478,-0.003534,0.002356,-0.004243,0.00051,0.001053,-0.002504,0.000502,0.006458,-0.005119,0.001367,0.004638,0.004706,0.002899,-0.000907,-0.001534,-0.004499,0.000195,0.003086,-0.007605,0.005779,0.002694,0.001941,-0.003278,0.001498,-0.008799,0.001357,0.004348,-0.005289,0.003584,-0.001362,-0.003013,0.002118,-0.002901,-0.004098,0.000539,0.007015,0.001317,0.006341,-0.002018,0.000565,-0.008626
HELLO,0.604102,0.69402,-0.013631,0.560382,0.656959,-0.016611,0.537318,0.615182,-0.010549,0.513072,0.59464,-0.017921,0.461246,0.587956,-0.017089,0.569321,0.580332,-0.014116,0.572516,0.521072,-0.009585,0.574672,0.497059,-0.013132,0.568597,0.450094,-0.011511,0.605672,0.566607,-0.014454,0.607817,0.505698,-0.011639,0.610752,0.468364,-0.017247,0.605946,0.43006,-0.016924,0.635485,0.576998,-0.007979,0.639305,0.52536,-0.011144,0.643612,0.482151,-0.018544,0.645732,0.443004,-0.007525,0.672673,0.594133,-0.010898,0.669101,0.555399,-0.011116,0.681796,0.524314,-0.015941,0.682043,0.493554,-0.018538,-0.005436,0.001509,-0.002292,-0.003326,-0.000944,0.005442,0.006731,0.000921,-0.004034,0.00418,-0.001956,0.000361,-0.009009,-0.005773,0.002164,0.002759,0.004313,-0.004481,-0.00039,0.005503,0.004254,-0.004946,0.0051,0.001144,0.006735,0.000454,0.007768,0.002403,-0.002734,0.00338,-0.003618,0.00532,0.003636,-0.001419,0.005953,-0.002363,0.00281,0.004469,-0.003454,0.005266,0.004938,-0.003495,-0.005551,0.005812,0.007158,-0.006418,-0.000539,-0.009849,-0.003135,0.004602,-0.006125,-0.003296,0.006048,0.000366,6.3e-05,0.005107,0.008358,0.000427,-0.007337,0.003889,0.001516,-0.002157,0.002068
HELLO,0.626637,0.713446,0.005184,0.587871,0.675608,0.002989,0.567541,0.633143,0.010466,0.53483,0.615717,0.000966,0.495441,0.604185,0.00771,0.592634,0.592662,0.014066,0.588228,0.539553,0.010624,0.591363,0.512705,-0.001164,0.584254,0.475803,0.0085,0.621204,0.589606,0.000621,0.618959,0.534039,0.010862,0.616882,0.492105,0.006158,0.616933,0.456824,0.010715,0.65377,0.60015,0.00852,0.65196,0.548188,0.011152,0.660524,0.514034,0.009178,0.662757,0.474738,0.007331,0.680017,0.609235,0.003718,0.692998,0.577559,0.006929,0.702156,0.543975,0.012584,0.698136,0.513139,0.007868,-0.000764,-0.013222,-0.000802,0.001931,-0.001802,-0.001798,0.004598,0.005509,-0.000159,0.001198,0.000967,-0.001947,-0.000764,-0.000951,0.006203,0.00223,-0.001523,-0.004819,0.002307,0.00676,0.005113,-0.005716,-0.000547,0.000107,-0.007467,0.000144,0.00605,0.002893,-0.009562,0.001371,-0.004337,-0.005377,-0.001262,-0.000564,0.00296,0.00293,0.001564,0.002265,-0.003204,0.001134,0.001766,-0.007052,0.003824,-0.004244,-0.002955,-0.008248,0.004992,-0.004055,-0.003825,-0.001126,-0.004055,-0.000733,0.000553,-0.002132,0.001021,0.004173,-0.002954,-0.002325,0.005365,0.006676,-0.000258,-0.001611,-0.007133
HELLO,0.589874,0.692877,0.009308,0.549901,0.651603,0.000328,0.534649,0.612139,0.014495,0.511775,0.594279,0.014596,0.454627,0.585224,0.012689,0.561158,0.576141,0.018941,0.55522,0.528766,0.013972,0.555113,0.492732,0.010766,0.554862,0.464082,0.010199,0.594046,0.568243,0.013346,0.593684,0.511746,0.012525,0.592908,0.467834,0.00431,0.593672,0.433581,0.008949,0.623568,0.580861,0.015717,0.628639,0.528281,0.009505,0.635951,0.490971,0.011156,0.626954,0.456566,0.014171,0.650994,0.599646,0.012677,0.666254,0.552883,0.013548,0.663374,0.530987,0.008938,0.673881,0.492838,0.012791,0.001765,0.002345,0.004444,0.005812,-0.00285,0.00271,-0.000457,0.003002,-0.002302,-0.00661,0.001765,-0.003528,0.001794,0.001441,0.001881,0.00297,-0.001013,-0.011583,-0.003849,-0.000935,0.008969,0.002668,-0.000964,-0.000127,0.00436,-0.002089,0.000213,-0.000105,0.004588,0.001565,0.004112,0.006779,0.000775,0.001384,-0.001081,-0.000572,0.007157,-0.001141,-0.004152,-0.004258,0.004401,-0.004882,0.005692,0.000788,0.005946,-0.000907,-4e-05,-0.0022,0.006166,-0.001523,-0.013057,-0.003202,0.005309,-0.005735,0.004087,0.000938,-0.003362,-0.009672,-0.001516,0.00673,-0.001927,0.003092,-0.00404
HELLO,0.613226,0.72641,0.014784,0.576601,0.680326,0.013344,0.552999,0.640733,0.012817,0.531013,0.621591,0.018949,0.497832,0.613387,0.016926,0.586622,0.605895,0.01565,0.576895,0.563384,0.012854,0.581914,0.525613,0.011991,0.575048,0.483667,0.019326,0.614192,0.600732,0.015135,0.613869,0.544791,0.014905,0.606946,0.505125,0.017967,0.611544,0.46801,0.012432,0.638073,0.604074,0.007617,0.645429,0.556007,0.015002,0.652112,0.530285,0.017049,0.65434,0.492672,0.018156,0.669163,0.631488,0.014327,0.67543,0.587346,0.02317,0.687276,0.559093,0.017961,0.68889,0.530386,0.017916,0.000805,-0.003159,0.000969,-0.000327,-0.000866,-0.003923,0.000564,-0.00183,0.006316,0.004793,-0.003323,0.003172,-0.001665,-0.001205,0.003036,-0.003933,0.001158,-0.000309,-0.00838,-0.002246,-0.003569,-0.000328,0.001042,-0.010351,-0.00045,0.003071,-0.007145,0.004176,0.001824,0.000359,-0.004446,0.001019,-0.005724,0.001129,-0.002961,0.006217,0.00111,0.004417,0.000692,0.00483,-0.001724,-0.001148,0.002958,0.001153,-0.007454,-0.004435,0.004088,0.002446,0.002632,-0.004043,0.002144,0.001543,6.9e-05,-0.00242,0.003298,0.006522,-0.005126,-0.000548,0.005242,0.002302,-0.007058,-0.002331,0.011929
HELLO,0.597362,0.675635,0.000191,0.561063,0.634173,-0.000739,0.549348,0.603777,0.000316,0.504872,0.58014,0.004903,0.47058,0.571045,-0.005925,0.57205,0.560803,0.008425,0.570511,0.512784,-0.007603,0.56912,0.481103,0.006999,0.564261,0.437178,0.01216,0.600147,0.547659,0.008656,0.609524,0.502188,-0.00758,0.605562,0.462889,-0.005127,0.602375,0.432226,-0.000303,0.627371,0.559563,0.000515,0.638633,0.512959,0.003573,0.633502,0.488602,-0.003006,0.64171,0.444696,-0.006591,0.658871,0.577301,-0.003958,0.665458,0.54226,0.000593,0.683401,0.519823,0.000386,0.669459,0.471307,0.000679,0.001024,3.8e-05,4e-05,-0.007297,-0.00116,0.000717,-0.005003,-0.00449,0.000766,-0.004173,-0.00085,0.00208,0.002115,0.000554,0.004828,0.006278,0.00616,0.00699,-0.003714,0.005727,-0.004936,0.001929,0.001838,0.003111,0.000696,-0.002924,0.001295,0.002032,0.004369,0.003454,0.004296,-0.009687,-0.00107,0.00415,0.002699,0.000593,0.002024,-0.000903,-0.006875,-6e-05,-0.0038,0.001417,0.005579,-0.004141,-0.002452,-0.00239,0.000634,-0.002631,-0.002572,-0.005676,-0.00047,0.000344,0.006516,-0.003101,0.000179,0.00388,-0.006191,0.000998,-0.001015,-0.001588,0.001708,-0.003833,-0.011853
HELLO,0.600725,0.700654,-0.014173,0.554717,0.664318,-0.00796,0.540179,0.638292,-0.007859,0.513153,0.621374,-0.007131,0.476826,0.604223,-0.009869,0.56862,0.596321,-0.008982,0.565098,0.549707,-0.019924,0.565926,0.520125,-0.011892,0.561326,0.489828,-0.011585,0.601131,0.582644,-0.01221,0.601054,0.53915,-0.007554,0.599456,0.505964,-0.013946,0.59471,0.457461,-0.011313,0.627571,0.59847,-0.013532,0.627133,0.557867,-0.010465,0.637518,0.525246,-0.011116,0.63287,0.491162,-0.012392,0.662355,0.615086,-0.012269,0.659702,0.576428,-0.010308,0.673036,0.546608,-0.01486,0.67739,0.520314,-0.00578,0.006091,0.004528,-0.001494,-0.000455,0.004697,-0.004779,-0.002195,-0.001287,0.001417,0.000514,-0.002965,0.003167,0.001749,0.001045,-0.002101,-0.000901,-0.003838,-0.004085,0.001539,0.009032,-0.002056,-0.00129,-0.003144,-0.005392,-0.002846,0.006109,0.002387,0.003653,-0.003154,-0.005298,-0.002674,0.007141,0.000225,0.004173,-0.005839,-0.005427,3.8e-05,-0.004842,-0.003904,-0.004235,0.002856,-0.001755,-0.003758,0.002111,-0.001155,-0.00212,-0.000649,-0.00647,0.000972,-0.000148,0.001187,-0.002791,0.009192,-0.005978,-0.003548,0.005831,-0.001408,0.002991,-0.006642,0.004346,0.002228,-0.00244,0.001246
HELLO,0.618833,0.707207,-0.005898,0.580759,0.658274,-0.010656,0.557419,0.6215,-0.013268,0.522812,0.595846,-0.005549,0.483864,0.579443,-0.003658,0.588069,0.575905,-0.007811,0.578636,0.532768,-0.002554,0.574828,0.488808,-0.010727,0.576481,0.455525,-0.011293,0.619436,0.563977,-0.008132,0.612021,0.515239,-0.001766,0.617728,0.47173,-0.003668,0.619024,0.431618,-0.007207,0.646581,0.567639,-0.007632,0.659715,0.52807,-0.005513,0.659336,0.485927,-0.005545,0.66255,0.458726,-0.011741,0.696576,0.59892,-0.004473,0.689348,0.562589,-0.005638,0.692124,0.530415,-0.009628,0.701792,0.492409,-0.009792,0.002794,-0.007761,0.002035,0.003745,-0.001577,0.001356,0.006218,0.003899,0.001401,-0.006329,0.005035,0.007017,-0.00557,-0.00254,-0.004997,0.002586,-0.007215,-0.000193,0.001716,-0.001599,0.003834,0.002316,-0.004119,-0.008518,0.003669,-0.00955,0.000837,0.001937,-0.001586,-0.001422,-0.010373,0.002089,0.00092,0.003585,0.000867,-0.002767,0.000486,-0.000495,-0.006203,-0.001225,0.000739,-0.00602,0.005138,0.006328,-0.002755,0.002716,0.000278,-0.003501,0.000746,0.002039,-0.000492,-0.000385,0.002991,-0.004432,2.3e-05,-0.002114,0.011955,-0.004119,0.002495,0.004983,-0.00137,0.004903,-0.00629
HELLO,0.61586,0.714419,0.011538,0.574393,0.669692,0.016109,0.555805,0.631365,0.015747,0.521041,0.617357,0.015536,0.484712,0.602875,0.013235,0.583509,0.597137,0.013865,0.580288,0.544571,0.011748,0.577003,0.511705,0.007504,0.57099,0.470247,0.014343,0.624636,0.587313,0.010932,0.608332,0.526489,0.008159,0.612007,0.487586,0.008963,0.615844,0.444931,0.008321,0.65364,0.595539,0.011496,0.65258,0.540118,0.00623,0.653417,0.502191,0.009998,0.657366,0.468798,0.015934,0.677363,0.611837,0.013266,0.688322,0.573186,0.01442,0.68918,0.543553,0.010226,0.697779,0.517553,0.010643,-0.003282,0.004858,0.006413,-0.003909,-0.001495,-0.001523,-0.000824,0.00337,-0.003265,-0.000509,-0.005545,0.001134,0.002882,0.000212,-0.000433,-0.003153,-0.000466,0.006319,-0.012228,-0.008725,-0.00122,0.000995,-0.001054,-0.004027,-0.002428,0.001245,-0.001544,-0.00455,-0.001914,0.000268,0.002111,0.001885,-0.003493,-0.000501,0.005888,0.001229,-0.00596,-0.00316,0.001367,0.000432,0.002408,0.005322,-0.005752,0.003066,0.004001,0.00737,-0.001137,0.004403,0.001267,-0.006694,-0.001438,-0.001379,0.001868,8e-05,-0.002419,7.9e-05,0.001581,0.004028,-0.004106,-0.001644,-0.004887,-0.00011,0.001804
